ID1 *,Latitude,Longitude,WaterDepth_Min,WaterDepth_Max,WaterDepth_Notes,TotalLength_Lt,DepositLength_Ld,EvacuatedLength_Le,LengthNotes,ScarpPerimeterLength_Ls,ScarpHeight_Hs,EvacuatedHeight_He,ScarpWidth_Ws,ScarpSurfaceNature,Scarp_Notes,MaxDepositWidth_Wd,MaxDepositThickness_Tdmax_m,MaxDepositThickness_TWTT_Tdmax,MaxUnconfinedDepositThickness_Tumax_m,MaxUnconfinedDepositThickness_TWTT_Tumax,ThicknessNotes,Deposit_Notes,TotalHeightDrop_Ht,SlopeGradient_S,SlopeGradientNotes,SlopeGradientHeadscarp_Ss,SlopeGradientHeadscarpNotes,SlopeGradientToe_St,SlopeGradientToeNotes,OBJECTID_12__
1,41.824,-56.253,4015,5045,,120000,120000,0,Max length measured,538556,40,0,153750,,,140000,30,0.04,,,Collected along one line crossing the MTD. Not precise,,880,0.65,"measured on 80 km, between 1 and 14 km from the landslide, in the downslope direction of the landslide",6.3,Taken at the same location as the scarp height. Gradient varies along the perimeter of the entire landslide. The headscarp gradient is variable.,0,,1
2,49.663787,-123.251085,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,2
3,49.0865,-123.3105,,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,3
4,53.983184,-128.692,119,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,4
5,48.25,-126.5,-2130,-2600,,0,1300,0,,0,0,0,0,Rectangular headscrap,,3300,0,0,,,,,470,14.5,From publication -Intact ridge slope angle ,0,,0,,5
6,48.333333,-126.668056,-1615,-2600,,0,2200,0,,0,0,0,0,Circular headscrap ,,2500,0,0,,,,,985,25,From publication -Intact ridge slope angle ,0,,0,,6
7,48.45,-126.8,-2050,-2600,,0,700,0,,0,0,0,0,Rectangular headscrap,,2400,0,0,,,,,550,12.8,From publication -Intact ridge slope angle ,0,,0,,7
8,48.5,-127,-2100,-2600,,0,2000,0,,0,0,0,0,Rectangular headscrap,,3300,0,0,,,,,500,9.5,From publication -Intact ridge slope angle ,0,,0,,8
9,48.6,-127.041667,-1720,-2600,,0,2400,0,,0,0,0,0,Circular headscrap ,,2000,0,0,,,,,880,16.5,From publication -Intact ridge slope angle ,0,,0,,9
10,48.625,-127.166944,-2230,-2600,,0,1200,0,,0,0,0,0,Rectangular headscrap,,2000,0,0,,,,,370,11.8,From publication -Intact ridge slope angle ,0,,0,,10
