1,,Canada East Coast - West Levee of Western Laurentian Valley,West Leavee of Western Laurentian Valley Slide,TRUE,Single,0.45,,From a sediment core at the bottom of the landslide at 4862 m,,
2,,Canada West Coast - Woodfibre Creek Delta Failure,Woodfibre -Howe Sound,FALSE,Single,0,, ,In 1955 a failure of the delta slope at Woodfibre Creek was triggered by an extreme low tide.,
3,,Canada West Coast - Fraser River Delta Failure,,FALSE,,0,, ,The Fraser River Delta is the largest delta in western Canada. In 1985 a large mass wasting event moved approximately 3*10^6 cubic meters of material. The region of Tsawwassen and Deltas population combine to be about 101000 is an area of explosive urban and industrial growth.,
4,,Canada West Coast - Kitimat Arm Failure 1975,,FALSE,,0,, ,"Two slides in the area have created tsunamis, one in 1974 and in 1975. The 1975 slide was likely triggered by a combination of low tides and construction. At least 26000000 m^3 of sediment was moved. ",Submarine slide complex
5,,Canada West Coast - Northern Cascadia_A,Northern Cascadia - Minke Slide,FALSE,Single,0,, ,,Blocky Slide
6,,Canada West Coast - Northern Cascadia_B,Northern Cascadia - Seal Slump,FALSE,Single,0,, ,,Debris Flow
7,,Canada West Coast - Northern Cascadia_C,Northern Cascadia - Pilot Slide,FALSE,Single,0,, ,,Blocky Slide
8,,Canada West Coast - Northern Cascadia_D_Slipstream,Northern Cascadia - Humpback Slide,FALSE,Single,0,, ,,Blocky Slide
9,,Canada West Coast - Northern Cascadia_E_Orca,Northern Cascadia - Orca Slump,FALSE,Single,0,, ,,Debris Flow
10,,Canada West Coast - Northern Cascadia_F,Northern Cascadia - Otter Slide,FALSE,Single,0,, ,,Blocky Slide
11,,Canada West Coast - Northern Cascadia_G,Northern Cascadia - Dolphin Slump,FALSE,Single,0,, ,,Debris Flow
12,,Canada West Coast - Northern Cascadia_H,Northern Cascadia - Dolphin Slump,FALSE,Single,0,, ,,Blocky Slide
13,,Canada West Coast - Explorer Plate_1,Explorer Plate_1,FALSE,,,,,,
14,,Canada West Coast - Explorer Plate_2,Explorer Plate_2,FALSE,,,,,,
15,,Canada West Coast - Explorer Plate_3,Explorer Plate_3,FALSE,,,,,,
16,,Canada West Coast - Explorer Plate_4,Explorer Plate_4,FALSE,,,,,,
17,,Canada West Coast - Explorer Plate_5,Explorer Plate_5,FALSE,,,,,,
18,,Canada West Coast - Explorer Plate Winona Basin_6a,Explorer Plate Winona Basin_6a,FALSE,,,,,,
19,,Canada West Coast - Explorer Plate Winona Basin_6b,Explorer Plate Winona Basin_6b,FALSE,,,,,,
20,,Canada West Coast - Explorer Plate_7,Explorer Plate_7,FALSE,,,,,,
21,,Arctic Canada West - Beaufort Sea Slump,,FALSE,,0,, ,,Slump
22,,Arctic Canada East - Baffin Bay - Scott Trough Slide,,FALSE,,0,, ,,
23,,St Lawrence - Betsiamites - Lower St. Lawrence,1663 Betsiamite Failure,FALSE,,0,, ,"Three 3 main events (7250 cal BP, AD 1663, and AD 1860 or 1870) of slope instability where identified within the 70km2 area of this study region. The 1663 AD Failure - With many failures along the St. Lawrence and its fjords this one stands out having an area of 6.5 km^2 over 3 million m^3 this is one of the largest submarine slides in Quebec. It was likely triggered by the 1663 earthquake of magnitude M=~7. The 1663 submarine debris flow failure is associated with a subaerial landslide observed onshore.",Debris Flow
24,,Canada East Coast - Grand Banks Failure,1929 Grand Banks Failure,FALSE,,0,, ,1929 - Triggered by a M=7.2 earthquake the slope failure created a devastating tsunami which was observed on the Atlantic coast of Canada and USA and as far east as Portugal and the Azores Islands.,
25,,Canada East Coast - Hopedale-Makkovik Failure Complex,Makkovik Failure,FALSE,,0,, ,A series of MTD's containing large slabs up to 6 km across. Deposits of the complex cover an area greater than 28000km^2 .  ,
26,,Canada East Coast - Flemish Pass_Core16,,FALSE,,0,, ,"3 confirmed failures in the area at ~27ka ago (Core16), ~20.5ka ago (Core14) and ~7ka ago (Core13).  Location of Core 16 slide displayed.",
27,,Canada East Coast - Flemish Pass_Core13,,FALSE,,0,, ,"3 confirmed failures in the area at ~27ka ago (Core16), ~20.5ka ago (Core14) and ~7ka ago (Core13).  Location of Core 13 slide displayed.",
28,,Canada East Coast - Flemish Pass_Core14,,FALSE,,0,, ,"3 confirmed failures in the area at ~27ka ago (Core16), ~20.5ka ago (Core14) and ~7ka ago (Core13).  Location of Core 14 slide displayed.",
29,,Canada East Coast - Newfoundland_1449,Newfoundland_1449,FALSE,,0,,,This debrite is smooth homogeneous and with approximate volume of million cubic m,
